Country Name,Especies Aves Ameacadas (2017),Especies Peixes Ameacadas (2017),Especies Mamiferos Ameacadas (2017),% Acesso eletricidade (2006),% Acesso eletricidade (2016),Consumo eletricidade kWh per capita (2006),Consumo eletricidade kWh per capita (2014),PIB (US$) (1990),PIB (US$) (2000),PIB (US$) (2005),PIB (US$) (2016),Mortalidade infantil por mil (1990),Mortalidade infantil por mil (2000),Mortalidade infantil por mil (2005),Mortalidade infantil por mil (2016)
Afghanistan,16.0,5.0,11.0,28.228612899780302,84.1371383666992,,,,,6275073571.54659,19469022207.6852,177.3,129.7,110.3,70.4
Albania,8.0,44.0,3.0,100.0,100.0,1218.36014605619,2309.3665025558103,2101624962.5,3632043907.9773297,8158548716.68554,11883682170.8236,40.0,26.0,20.4,13.5
Algeria,15.0,40.0,14.0,98.7744140625,99.43956756591801,858.934010580582,1356.2645537083501,62045099642.7774,54790245600.5846,103198228458.58801,159049096745.249,49.0,39.7,33.5,25.2
Andorra,3.0,0.0,2.0,100.0,100.0,,,1029048481.88051,1434429703.33518,3255789080.96008,2877311946.90265,8.8,4.6,3.8,2.7
Angola,31.0,52.0,18.0,29.1036758422852,40.5206069946289,143.91188328687,312.476017317085,11236275842.7358,9129634978.33773,28233712737.97,95337203468.1156,221.4,207.0,167.2,82.5
Antigua and Barbuda,2.0,30.0,2.0,92.4344024658203,97.3546676635742,,,459469074.07407403,830158777.777778,1022191296.2963,1460144703.7037,26.1,14.9,12.1,8.5
Argentina,52.0,41.0,37.0,97.1672210693359,100.0,2357.95291526127,3052.3819367465303,141352368724.031,284203750000.0,198737095012.28198,554860945013.62,28.8,19.4,16.6,11.1
Armenia,14.0,3.0,9.0,99.2657318115234,100.0,1639.68227142133,1965.78373282133,2256838857.60997,1911563668.8500602,4900469950.09033,10546135160.031,49.7,30.1,23.4,13.4
Australia,50.0,123.0,63.0,100.0,100.0,10490.48454191,10059.207446790899,310838014621.008,415034227218.489,692641708013.833,1208039015868.39,9.2,6.2,5.7,3.7
Austria,13.0,11.0,3.0,100.0,100.0,8244.40195190479,8355.84195182134,166463386663.439,196799778883.36102,315974418604.651,390799991147.46796,9.5,5.5,4.9,3.5
Azerbaijan,17.0,12.0,8.0,99.5,100.0,2552.2862143543302,2202.39391828846,8858006042.29607,5272798390.70183,13245716099.0057,37867518957.1975,94.5,74.3,51.9,30.9
"Bahamas, The",9.0,45.0,6.0,97.90076446533199,100.0,,,3166000000.0,8076470000.0,9836200000.0,11838800000.0,23.5,16.1,16.2,10.6
Bahrain,7.0,13.0,3.0,100.0,100.0,21508.4504191299,19592.2319490391,4229787234.04255,9062906914.89362,15968726861.7021,32152686170.2128,23.0,12.5,10.6,7.6
Bangladesh,35.0,29.0,37.0,50.5251024590164,75.92,190.915464451173,310.39122612746104,31598341233.559,53369787318.6245,69442943089.4309,221415162445.648,143.8,87.4,66.5,34.2
Barbados,3.0,30.0,3.0,100.0,100.0,,,2023318251.8769,3121500000.0,3897300000.0,4529050000.0,17.8,14.8,15.4,12.3
Belarus,9.0,2.0,4.0,100.0,100.0,3365.9818651350106,3679.9788400689004,21650000000.0,12738912133.8912,30207567316.6202,47722657820.6675,15.2,12.8,8.5,3.9
Belgium,8.0,13.0,2.0,100.0,100.0,8683.671285001321,7709.123077882471,206430841501.69,237904919845.21802,387365750528.541,467545548764.57104,10.0,5.9,5.0,3.9
Belize,5.0,44.0,9.0,90.9885308574549,92.2143173217773,,,413050000.0,832072450.0,1114222550.0,1820158550.0,39.0,24.1,21.0,14.9
Benin,10.0,39.0,14.0,27.9,41.402614593505895,75.0891820950393,100.226389151363,1959965243.7626898,2569186642.86999,4803702821.08056,8573159696.6112795,178.4,144.4,124.4,97.6
Bhutan,19.0,3.0,25.0,61.181789398193395,100.0,,,299787275.842376,439158233.199822,818869145.124717,2212638830.3943896,127.6,77.4,57.9,32.4
Bolivia,55.0,8.0,20.0,76.211281,93.0391311645508,513.06998110808,752.6870216591141,4867582620.20708,8397912509.09679,9549077869.1065,33941126193.9219,123.8,79.8,61.1,36.9
Bosnia and Herzegovina,7.0,35.0,4.0,99.3872769868445,100.0,2375.7311875639602,3365.6739396108,,5505984455.95855,11225138297.1959,16911088173.7458,18.2,9.9,8.8,6.0
